id,name,city,category,lat,lng,note,website,created_at
"188","Carmel Valley Coffee Roasting Co.","Carmel Valley","artisan","36.55493","-121.92375","The Village coffee institution. Small-batch roasting, knowledgeable staff, and the kind of laid-back porch energy that makes Carmel Valley what it is. A proper stop before a morning of tasting rooms.","https://carmelvalleycoffee.com","2026-04-16 23:23:38.862553"
"224","Carmel Valley Creamery Co.","Carmel Valley","artisan","36.473553","-121.72808","Artisan creamery in Carmel Valley Village at 1 Esquiline Road. Small-batch ice cream and dairy made with local ingredients — the kind of focused, ingredient-driven operation that fits the Village's slow-food character. A natural stop after a morning of tasting rooms.","https://www.carmelvalleycreameryco.com","2026-05-02 21:24:13.886169"
"228","Ad Astra Bread Co.","Monterey","artisan","36.59819","-121.894615","Serious artisan bread on Alvarado Street in downtown Monterey. Open seven days a week, 7am to 5pm — loaves, pastries, and baking classes out of a focused bakery that takes the craft seriously. The name means 'to the stars.' At 479 Alvarado St.","https://www.adastrabread.com","2026-05-03 01:17:59.824501"
"218","Alvarado Street Brewery","Monterey","artisan","36.5993","-121.89481","The serious craft brewery in Monterey County. Local grain sourcing, a farm-to-table beer approach, and a tap room on Alvarado Street that has built a real identity. The IPA program is the headline, but the farmhouse ales and barrel-aged program show real depth. A credible stop for anyone who finds the Peninsula's wine-only focus occasionally exhausting.","https://alvaradostreetbrewery.com","2026-04-19 22:50:45.818301"
"201","Monterey Abalone Company","Monterey","artisan","36.60506","-121.88942","Art Seavey and Trevor Fay cultivate California red abalone in cages suspended beneath Municipal Wharf 2 — farming in the actual bay rather than tanks. The result is some of the cleanest aquaculture provenance on the Central Coast: abalone fed by wild kelp and plankton of Monterey Bay, harvested and sold from the wharf. Call ahead to visit or purchase direct.","https://montereyabalone.com","2026-04-17 21:12:54.365094"
"202","Parker-Lusseau Pastries","Monterey","artisan","36.59614","-121.895546","The most committed artisan bakery in Monterey County. French laminated doughs — proper croissants, kouign-amann, seasonal pastries — produced with a rigor that makes this a key supplier to the area's better restaurants and a morning anchor for anyone who knows. The Hartnell Street flagship at 539 Hartnell St is the original; a second cafe on Munras has since opened. Open early weekdays.","https://parkerlusseau.com","2026-04-17 21:12:58.221968"
"219","Wild Plum Cafe & Bakery","Monterey","artisan","36.594864","-121.89309","All-vegetarian cafe and bakery that has supplied Peninsula restaurants with whole-grain breads and pastries for years. The approach complements Parker-Lusseau's French lamination — whole grain, seasonal, rooted in ingredient integrity rather than technique display. Breakfast and lunch; closes midafternoon. On Munras Ave.","https://wildplum.com","2026-04-19 22:50:45.818301"
"217","Happy Girl Kitchen","Pacific Grove","artisan","36.61854","-121.906525","Fermentation studio, canning operation, and cafe on Central Avenue. Small-batch pickles, jams, kimchi, and fermented vegetables made from Salinas Valley and coastal produce. They run hands-on canning workshops if you want to understand how the pantry gets built. The cafe side runs a quiet breakfast and lunch. Doing the slow-food work without the label.","https://happygirlkitchen.com","2026-04-19 22:50:45.818301"
"187","Carmel Farmers Market","Carmel","farmstand","36.540726","-121.90754","The Barnyard Shopping Village market at Highway 1 and Carmel Valley Road. Over 25 farmers and vendors — local produce, specialty items, valley honey. Tuesdays 9 am to 1 pm, May through September, rain or shine.","https://montereybayfarmers.org","2026-04-16 23:23:38.862553"
"216","Pezzini Farms","Castroville","farmstand","36.74293","-121.76883","Four generations of artichoke farming in the county that named itself the artichoke capital of the world. Direct retail at their Merritt Street stand gives you the freshest possible Castroville artichokes, year-round, from the family that grows them. Peak is February through May. They know how to cook them; ask.","https://pezzinifarms.com","2026-04-19 22:50:45.818301"
"186","Monterey Bay Certified Farmers Market — Monterey","Monterey","farmstand","36.58369","-121.89375","The Monterey Peninsula's best weekly market, drawing farms from across the Salinas Valley floor and coastal hills. Castroville artichoke growers, Watsonville strawberry farms, coastal microgreens, and specialty produce direct from growers. Tuesday and Saturday in the Old Monterey Marketplace. The most direct connection to what's actually growing in the county right now.","https://montereybayfarmers.org","2026-04-16 23:23:38.862553"
"213","Deetjen's Big Sur Inn","Big Sur","restaurant","36.21744","-121.75087","The anti-Sierra Mar Big Sur restaurant. Norwegian homestead built by Grandpa Deetjen in the 1930s — wood fires, creaky floors, Castro Canyon outside the window. The menu doesn't try to justify the setting with price. Dinner by reservation; weekend breakfast draws locals who've been coming for years. Earned in a way that newer Big Sur destinations have to work toward.","https://deetjens.com","2026-04-19 22:50:45.818301"
"173","Nepenthe","Big Sur","restaurant","36.221836","-121.75929","The cathedral of Big Sur dining — terraced into the cliff at 808 feet with one of the great restaurant views in California. The Ambrosia burger has been feeding travelers since 1949 and hasn't been embarrassed by time. Arrive for lunch before the afternoon coast fog closes in. The Phoenix is the original structure. An institution, earned.","https://nepenthebigsur.com","2026-04-16 23:23:38.862553"
"183","Sierra Mar at Post Ranch Inn","Big Sur","restaurant","36.229893","-121.76513","A 1,200-foot cliff perch with one of the most dramatic dining rooms in California. The cuisine leans organic and local; the wine list is genuinely exceptional. The price reflects the setting — but the setting is legitimately extraordinary. Lunch is more accessible than dinner. Reserve the moment you book lodging.","https://postranchinn.com/dining","2026-04-16 23:23:38.862553"
"195","Solstice at The Village Big Sur","Big Sur","restaurant","36.269768","-121.80791","The most exciting new restaurant in Big Sur in years. Chef Tim Eelman's live-fire program centers the menu — whole fish roasted over coals, smoke-treated shellfish, grilled local produce — while manager Matt Peterson curates a wine list of genuine intelligence. Inside The Village Big Sur at 46840 Highway 1, which gives it an infrastructure that most Big Sur restaurants lack. The bodega sidecar next door is coming together as a provisions stop. Book ahead.","https://thevillagebigsur.com","2026-04-16 23:38:05.559813"
"223","Aubergine at L'Auberge Carmel","Carmel","restaurant","36.55413","-121.92422","The best table on the Monterey Peninsula. Justin Cogley's seasonal tasting menu is among the most technically accomplished in Northern California — hyper-local, precise, and entirely worth the price. The bread service alone sets a standard. Book weeks ahead and come hungry.","https://auberginecarmel.com","2026-04-27 17:40:34.921612"
"197","Chez Noir","Carmel","restaurant","36.556934","-121.92233","One Michelin Star earned with a minimum of fuss — James Beard finalist for Best New Restaurant, LA Times Top 101, and arguably the most honest French-inspired kitchen on the Peninsula. The natural wine program is rooted in the Central Coast. On 5th between San Carlos and Dolores in Carmel-by-the-Sea. Book well ahead.","https://cheznoircarmel.com","2026-04-17 21:12:38.697166"
"178","Cultura Comida y Bebida","Carmel","restaurant","36.555992","-121.923065","The best argument that Carmel's restaurant scene is getting more interesting. Local sourcing, a Mexican-inflected menu built around what's in season in the Salinas Valley, and a natural wine list that would hold its own in San Francisco. Genuinely exciting cooking in a town not always known for it.","https://culturacarmel.com","2026-04-16 23:23:38.862553"
"193","Il Tegamino","Carmel","restaurant","36.554756","-121.92408","The most honest pizza in Carmel. Giuseppe Panzuto came from Naples and does not compromise: proper Neapolitan dough, correct oven temperature, San Marzano tomatoes, fior di latte. Hidden in the Court of the Golden Bough courtyard off Ocean Avenue — the location is not visible from the street, which means it's still a locals-first spot. The kind of place that makes Carmel more interesting.","https://iltegaminocarmel.com","2026-04-16 23:37:57.78561"
"212","The Stationaery","Carmel","restaurant","36.556187","-121.92141","A neighborhood restaurant in San Carlos Square that has become a quiet anchor for Carmel locals. Seasonal California cooking, handmade pastas, and a wine program built around small producers and low-intervention bottles from California and Europe. The kitchen draws from farms across Monterey and Santa Cruz Counties; the menu follows the seasons. Brunch is a weekend ritual, dinner runs Thursday through Sunday. Coffee from Carrier Roasting Co. and a take-away window for guests heading to the beach. Chef Amalia Scatena runs the kitchen under owners Anthony and Alissa Carnazzo.","https://thestationaery.com","2026-04-19 22:50:45.818301"
"196","Phil's Fish Market","Castroville","restaurant","36.76573","-121.75833","Forty years and one move later, still the definitive cioppino stop in Monterey County. Phil DiGirolamo's market relocated from Moss Landing to a historic 1869 building on Merritt Street in Castroville in 2022. The cioppino — built on local crab, clams, mussels, shrimp, and fish in a tomato-wine broth — is the reason most people come, and it holds up. The fish market operation still sells direct. Artichoke country is right outside the door.","https://philsfishmarket.com","2026-04-16 23:38:09.408411"
"227","Alta Monterey","Monterey","restaurant","36.59763","-121.89499","Ben Spungin is the chef and owner behind Alta Bakery and Cella Restaurant, both housed at the Historic Cooper Molera Adobe at 502 Munras Ave in downtown Monterey. Ben has cooked on the Peninsula for 26 years — from Post Ranch Inn in Big Sur to Bernardus Lodge with Cal Stamenov, with stints opening Faith and Flower in L.A. and Rose Rabbit Lie in Las Vegas. His cooking is rooted in locally grown, seasonal ingredients with a balance of savory and sweet. Featured in Wine Spectator, Art Culinaire, and photographed in the French Laundry Cookbook.","https://www.altamonterey.com","2026-05-03 01:15:24.965127"
"192","Montrio Bistro","Monterey","restaurant","36.599773","-121.895386","The only Michelin-rated restaurant in downtown Monterey — and it earns it quietly, without the fuss of a tasting menu. Set inside Monterey's historic first firehouse (built 1910), the kitchen runs a rotating seasonal menu of American and European-inflected small plates and entrées. Sustainably certified, garden-to-table committed, and genuinely well-executed. The wine list covers California and beyond without being exhausting. Book ahead on weekends.","https://montrio.com","2026-04-16 23:37:53.926305"
"179","Tarpy's Roadhouse","Monterey","restaurant","36.58228","-121.83031","The classic for a reason. Stone farmhouse building, wood-fired cooking, and a menu built for people who actually eat — not people performing a dining experience. The prime rib is a weekend ritual for half the Peninsula. Reliable, honest, and genuinely good.","https://tarpys.com","2026-04-16 23:23:38.862553"
"211","Jeninni Kitchen + Wine Bar","Pacific Grove","restaurant","36.620815","-121.91675","The best natural wine list on the Peninsula after Chez Noir, in a small Pacific Grove dining room that punches well above its address. Mediterranean-inflected small plates built around what's in season locally. The cheese program is strong and the staff knows the list. Come for dinner; the regulars fill it quickly.","https://jeninni.com","2026-04-19 22:50:45.818301"
"176","Passionfish","Pacific Grove","restaurant","36.622337","-121.920975","The neighborhood restaurant Pacific Grove deserves and almost doesn't know it has. Ted Walter's wine list is famously well-priced — zero markup on most bottles is the stated goal — and the sustainable seafood is sourced with real intention. Book ahead. The regulars fill it.","https://passionfish.net","2026-04-16 23:23:38.862553"
"182","Wild Fish","Pacific Grove","restaurant","36.6205","-121.91702","Small, focused, and genuinely committed to sustainable local seafood. Pacific Grove's quiet gem. The menu changes with what came off the boats. No swordfish, no farmed salmon — Wild Fish means it. Book ahead; it seats very few.","https://wild-fish.com","2026-04-16 23:23:38.862553"
"171","Albatross Ridge","Carmel","winery","36.55529","-121.92259","Tasting room in Carmel village, estate vineyard high in the Santa Lucia Highlands at 2,200 feet — one of the highest in Monterey County. The elevation and marine influence produce Pinot Noir that is leaner and more savory than Sonoma Coast equivalents. Worth a stop if you're walking Carmel's tasting row.","https://albatrossridge.com","2026-04-16 23:23:38.862553"
"191","Caraccioli Cellars","Carmel","winery","36.554703","-121.922585","The best sparkling wine argument for Monterey County you'll find in a single tasting room. Gary Caraccioli grew up farming in the Salinas Valley; he brought in Michel Salgues — the Frenchman who built Roederer Estate — to translate Santa Lucia Highlands fruit into méthode champenoise wines with real Champagne structure. The Brut and Brut Rosé from the SLH are benchmarks. Quiet, unhurried tasting room on Dolores Street in the village.","https://caracciolicellars.com","2026-04-16 23:37:50.07413"
